year,month,vote_average,comedy
1921,4,6.566666666666666,0.6666666666666666
1921,5,7.0,1.0
1921,8,5.7,0.0
1921,9,6.866666666666667,0.3333333333333333
1921,10,5.275,0.75
1921,11,5.766666666666667,0.6666666666666666
1921,12,5.116666666666666,0.16666666666666666
1922,1,6.4,0.5
1922,3,5.720000000000001,0.2
1922,4,7.6,0.0
1922,5,5.5,0.5
1922,6,7.2,0.0
1922,7,6.9,1.0
1922,8,5.666666666666667,0.3333333333333333
1922,9,6.65,0.5
1922,10,3.55,0.5
1922,11,5.083333333333334,0.3333333333333333
1922,12,7.0,1.0
1923,1,5.833333333333333,0.6666666666666666
1923,2,5.325,0.25
1923,3,6.6,1.0
1923,4,7.6,1.0
1923,7,6.0,0.0
1923,9,7.080000000000001,0.4
1923,10,7.066666666666666,0.3333333333333333
1923,11,6.866666666666667,0.3333333333333333
1924,1,7.175000000000001,0.25
1924,2,4.575,0.25
1924,3,7.0249999999999995,0.0
1924,4,7.0,0.75
1924,5,7.0,0.0
1924,6,5.8,0.0
1924,7,6.0,0.0
1924,8,7.1,0.0
1924,9,6.533333333333334,0.0
1924,10,7.2,0.6666666666666666
1924,11,5.85,0.0
1924,12,7.4,0.2
1925,1,6.166666666666667,0.3333333333333333
1925,2,3.5,0.5
1925,3,7.175000000000001,0.5
1925,4,7.050000000000001,0.0
1925,6,7.1000000000000005,0.3333333333333333
1925,8,3.8333333333333335,0.3333333333333333
1925,9,6.875,0.5
1925,10,2.2333333333333334,0.6666666666666666
1925,11,5.56,0.3
1925,12,7.1,0.5
1926,1,6.35,0.0
1926,2,6.25,0.0
1926,3,5.85,0.25
1926,4,4.1000000000000005,1.0
1926,5,4.875,0.25
1926,6,7.0,0.5
1926,7,6.433333333333334,0.3333333333333333
1926,8,6.866666666666667,0.0
1926,9,6.8,0.2
1926,10,6.483333333333333,0.0
1926,11,5.5,0.5
1926,12,5.883333333333333,0.3333333333333333
1927,1,6.8,0.42857142857142855
1927,2,6.85,0.5
1927,3,5.0,0.0
1927,5,0.0,0.0
1927,6,7.6,0.0
1927,8,3.6,0.0
1927,9,4.844444444444445,0.3333333333333333
1927,10,5.359999999999999,0.4
1927,11,6.625,0.25
1927,12,5.7,0.3333333333333333
1928,1,6.81111111111111,0.2222222222222222
1928,2,6.914285714285714,0.2857142857142857
1928,3,6.2,0.25
1928,4,7.355555555555556,0.3333333333333333
1928,5,6.625,0.0
1928,6,4.433333333333334,0.6666666666666666
1928,7,5.8999999999999995,0.0
1928,8,4.366666666666666,0.3333333333333333
1928,9,7.3,0.25
1928,10,6.2,0.0
1928,11,6.5,0.2222222222222222
1928,12,5.05,0.3333333333333333
1929,1,6.0,0.2222222222222222
1929,2,6.4624999999999995,0.125
1929,3,6.38,0.2
1929,4,4.64,0.2
1929,5,3.5200000000000005,0.0
1929,6,4.285714285714286,0.14285714285714285
1929,7,0.0,0.0
1929,8,5.02,0.4
1929,9,4.466666666666667,0.3333333333333333
1929,10,5.288888888888888,0.4444444444444444
1929,11,5.328571428571428,0.2857142857142857
1929,12,6.1125,0.375
1930,1,4.54,0.2
1930,2,3.566666666666666,0.5555555555555556
1930,3,4.0,0.6
1930,4,4.449999999999999,0.375
1930,5,4.957142857142857,0.42857142857142855
1930,6,5.775,0.25
1930,7,3.257142857142857,0.14285714285714285
1930,8,3.5125,0.5
1930,9,1.825,0.75
1930,10,4.699999999999999,0.5
1930,11,4.39,0.5
1930,12,4.125,0.5
1931,1,4.414285714285715,0.42857142857142855
1931,2,3.8900000000000006,0.3
1931,3,3.1399999999999997,0.0
1931,4,4.976923076923076,0.38461538461538464
1931,5,5.085714285714286,0.2857142857142857
1931,6,3.9125,0.25
1931,7,5.340000000000001,0.2
1931,8,4.685714285714285,0.2857142857142857
1931,9,4.449999999999999,0.25
1931,10,5.199999999999999,0.5
1931,11,5.591666666666666,0.16666666666666666
1931,12,5.933333333333333,0.4166666666666667
1932,1,4.342857142857143,0.2857142857142857
1932,2,4.391666666666667,0.3333333333333333
1932,3,3.56,0.1
1932,4,4.407692307692308,0.38461538461538464
1932,5,6.716666666666666,0.16666666666666666
1932,6,7.0,0.6
1932,7,4.7,0.2857142857142857
1932,8,3.9466666666666663,0.3333333333333333
1932,9,5.526666666666666,0.4
1932,10,5.042857142857143,0.14285714285714285
1932,11,5.445454545454545,0.2727272727272727
1932,12,4.705555555555555,0.3333333333333333
1933,1,5.363636363636363,0.36363636363636365
1933,2,4.653333333333333,0.4
1933,3,4.490909090909091,0.09090909090909091
1933,4,5.153333333333334,0.2
1933,5,4.8999999999999995,0.36363636363636365
1933,6,4.571428571428571,0.35714285714285715
1933,7,4.036363636363637,0.0
1933,8,4.688888888888889,0.2222222222222222
1933,9,4.3500000000000005,0.4166666666666667
1933,10,5.2875,0.5
1933,11,5.136363636363637,0.36363636363636365
1933,12,5.678571428571429,0.42857142857142855
1934,1,6.133333333333333,0.0
1934,2,4.675000000000001,0.25
1934,3,5.6000000000000005,0.2222222222222222
1934,4,6.009090909090909,0.18181818181818182
1934,5,5.109999999999999,0.35
1934,6,4.2153846153846155,0.15384615384615385
1934,7,3.95,0.375
1934,8,4.566666666666666,0.5
1934,9,4.469230769230769,0.46153846153846156
1934,10,4.9,0.2
1934,11,4.49,0.55
1934,12,3.507692307692307,0.38461538461538464
1935,1,3.981818181818181,0.36363636363636365
1935,2,6.133333333333333,0.5
1935,3,5.333333333333333,0.4166666666666667
1935,4,4.427272727272727,0.2727272727272727
1935,5,5.3625,0.25
1935,6,5.074999999999999,0.375
1935,7,4.95,0.5
1935,8,5.541666666666667,0.25
1935,9,5.125,0.5833333333333334
1935,10,4.369230769230769,0.46153846153846156
1935,11,5.730769230769231,0.46153846153846156
1935,12,4.535714285714286,0.5
1936,1,5.727272727272727,0.2727272727272727
1936,2,6.1923076923076925,0.5384615384615384
1936,3,6.222222222222222,0.2222222222222222
1936,4,5.318181818181818,0.45454545454545453
1936,5,5.4363636363636365,0.2727272727272727
1936,6,5.36,0.2
1936,7,5.245454545454545,0.2727272727272727
1936,8,5.966666666666666,0.4444444444444444
1936,9,4.866666666666666,0.26666666666666666
1936,10,6.038461538461538,0.46153846153846156
1936,11,5.5857142857142845,0.5
1936,12,5.53125,0.5
1937,1,6.711111111111111,0.2222222222222222
1937,2,6.1499999999999995,0.5
1937,3,3.9900000000000007,0.7
1937,4,5.472727272727273,0.18181818181818182
1937,5,5.626666666666666,0.3333333333333333
1937,6,6.7,0.2
1937,7,4.343749999999999,0.375
1937,8,5.9222222222222225,0.0
1937,9,5.453333333333332,0.26666666666666666
1937,10,5.15,0.45
1937,11,5.891666666666667,0.4166666666666667
1937,12,4.988888888888889,0.4444444444444444
1938,1,5.7625,0.5
1938,2,6.01,0.2
1938,3,6.21,0.4
1938,4,5.733333333333332,0.25
1938,5,5.677777777777778,0.5555555555555556
1938,6,4.241666666666666,0.4166666666666667
1938,7,5.959999999999999,0.5
1938,8,5.5625,0.5
1938,9,5.355555555555556,0.5555555555555556
1938,10,3.65,0.42857142857142855
1938,11,4.7727272727272725,0.36363636363636365
1938,12,4.333333333333333,0.3333333333333333
1939,1,4.806666666666667,0.2
1939,2,4.459999999999999,0.6
1939,3,6.415384615384616,0.3076923076923077
1939,4,5.116666666666666,0.16666666666666666
1939,5,5.7375,0.375
1939,6,5.921428571428571,0.42857142857142855
1939,7,6.485714285714286,0.2857142857142857
1939,8,6.166666666666667,0.0
1939,9,6.457142857142857,0.2857142857142857
1939,10,6.8100000000000005,0.6
1939,11,5.6,0.23076923076923078
1939,12,5.75,0.16666666666666666
1940,1,6.371428571428572,0.2857142857142857
1940,2,5.67,0.3
1940,3,5.533333333333333,0.3333333333333333
1940,4,5.956250000000001,0.25
1940,5,5.385714285714285,0.42857142857142855
1940,6,4.666666666666667,0.3333333333333333
1940,7,7.112500000000001,0.25
1940,8,6.461538461538462,0.38461538461538464
1940,9,5.478571428571429,0.2857142857142857
1940,10,5.508333333333333,0.5833333333333334
1940,11,5.566666666666666,0.25
1940,12,5.473684210526315,0.5263157894736842
1941,1,4.709090909090909,0.5454545454545454
